tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-12-09	15:09:02	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.97	30	1
2015-12-09	15:09:03	195.68	51.82	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.97	30	0
2015-12-09	15:09:04	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.98	30	0
2015-12-09	15:09:05	173.66	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.97	30	0
2015-12-09	15:09:06	195.68	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.98	30	0
2015-12-09	15:09:07	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.58	11.97	30	1
2015-12-09	15:09:08	173.66	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.53	11.98	30	0
2015-12-09	15:09:09	168.16	51.58	-0.52	0.07	NULL	6.6	13.57	19.61	24.19	51.56	51.58	11.98	30	0
2015-12-09	15:09:10	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.13	51.56	51.53	11.98	30	0
2015-12-09	15:09:11	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.98	30	1
2015-12-09	15:09:12	195.68	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.97	30	0
2015-12-09	15:09:13	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.56	51.53	11.97	30	0
2015-12-09	15:09:14	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.98	30	0
2015-12-09	15:09:15	195.68	51.58	-0.52	0.15	NULL	6.6	13.57	19.58	24.16	51.56	51.53	11.98	29	0
2015-12-09	15:09:16	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.98	29	1
2015-12-09	15:09:17	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.97	29	0
2015-12-09	15:09:18	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.97	29	0
2015-12-09	15:09:19	184.67	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.97	29	0
2015-12-09	15:09:20	190.17	51.58	-0.52	0.07	NULL	6.6	13.57	19.58	24.16	51.5	51.53	11.98	29	0
