tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-11-29	19:16:03	402	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.53	50.56	11.98	25	1
2015-11-29	19:18:09	403	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.53	50.56	11.98	25	1
2015-11-29	19:20:13	403	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.48	50.51	11.98	25	1
2015-11-29	19:22:04	403	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.19	50.48	50.51	11.98	25	1
2015-11-29	19:24:05	403	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.48	50.51	11.98	25	1
2015-11-29	19:26:04	403	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.43	50.51	11.98	25	1
2015-11-29	19:28:14	405	50.65	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.43	50.51	11.98	26	1
2015-11-29	19:30:05	406	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.43	50.51	11.98	26	1
2015-11-29	19:32:04	405	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.43	50.45	11.98	26	1
2015-11-29	19:34:04	405	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.43	50.45	11.98	26	1
2015-11-29	19:36:04	405	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.43	50.45	11.98	26	1
2015-11-29	19:38:04	405	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.37	50.45	11.98	25	1
2015-11-29	19:40:04	406	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.37	50.4	11.98	25	1
2015-11-29	19:42:04	406	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.37	50.4	11.98	25	1
2015-11-29	19:44:09	406	50.65	-0.59	0.22	Hughes HX-50	6.61	13.59	19.61	24.19	50.37	50.4	11.98	25	1
2015-11-29	19:46:04	407	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.37	50.35	11.98	25	1
2015-11-29	19:48:04	407	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.32	50.35	11.98	25	1
2015-11-29	19:50:04	407	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.32	50.35	11.98	25	1
2015-11-29	19:52:09	407	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.32	50.35	11.98	25	1
2015-11-29	19:54:04	407	50.42	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.19	50.32	50.29	11.98	25	1
